Product,Polymarket,Kalshi,Prediction_Market,Manifold,Best_Price,Price_Spread,Confidence,Category,Platforms
NFL: Will the Falcons beat the Panthers by more than 3.5 points in their October 31st matchup?,0.5,-,-,-,0.5,0.0,1.0,Sports,1
2022 Norway Chess: Will Magnus Carlsen lose any game?,0.5,-,-,-,0.5,0.0,1.0,Chess,1
(In-Game Trading) Will the 49ers beat the Packers by more than 3.5 points in their week three matchup?,0.5,-,-,-,0.5,0.0,1.0,Sports,1
NBA: Will the Heat beat the Wizards by more than 7.5 points in their November 18th matchup?,0.5,-,-,-,0.5,0.0,1.0,Sports,1
NFL: Will the Chiefs beat the Bengals by more than 3.5 points in their January 2 matchup?,0.5,-,-,-,0.5,0.0,1.0,Sports,1
Ethereum above $5000 by 2025,-,-,0.41,-,0.41,0.0,1.0,Crypto,1
Will 'Lightyear' gross more than $90 million domestically on its opening weekend?,0.5,-,-,-,0.5,0.0,1.0,Pop-Culture ,1
Will the floor price of 'We Are All Going to Die' be above 1 ETH on June 14?,0.5,-,-,-,0.5,0.0,1.0,NFTs,1
Will the Spurs or the Grizzlies win their NBA play-in tournament matchup?,0.5,-,-,-,0.5,0.0,1.0,Sports,1
"Will NATO declare a No Fly-Zone over any Ukrainian territory by April 30, 2022?",0.5,-,-,-,0.5,0.0,1.0,Ukraine & Russia,1
"Will any Belarusian bank be disconnected from SWIFT by April 30, 2022?",0.5,-,-,-,0.5,0.0,1.0,Ukraine & Russia,1
"Will natural gas close above $9 on June 17, 2022?",0.5,-,-,-,0.5,0.0,1.0,Business,1
Democrats to control US Senate in 2025,-,0.46,-,-,0.46,0.0,1.0,Politics,1
Will there be a US recession in 2025?,-,-,-,0.32,0.32,0.0,1.0,Economics,1
S&P 500 above 6000 by Dec 2025,-,0.72,-,-,0.72,0.0,1.0,Economics,1
Trump elected president 2024?,-,-,0.59,-,0.59,0.0,1.0,Politics,1
Democratic Senate majority 2024,-,-,0.44,-,0.44,0.0,1.0,Politics,1
AI reaches AGI by 2030,-,-,0.25,-,0.25,0.0,1.0,Technology,1
Republican wins 2024 election,-,0.58,-,0.61,0.61,0.030000000000000027,0.79,Politics,2
NFL: Will the Jaguars beat the Texans by more than 3.5 points in their December 19 matchup?,0.5,-,-,-,0.5,0.0,0.734,Sports,1
NBA: Will the Clippers beat the Celtics by more than 2.5 points in their December 8 matchup?,0.5,-,-,-,0.5,0.0,0.723,Sports,1
